BARCODE,LOCATION,LOCATION2,PKEY,PKEY0,FRAMENUM,FRAMENUM0,SXFRAME,QUANTITY,MANUFACT,MODEL,FCOLOUR,SIZE,FRDESC,LOCATION3,STKTAKE,CHANGE,QTYAPPRO,QTY3,SUPBARCODE,ISTOCKCODE,SUPPLIER,SUPPLIER2,FRAMETYPE,FRAMEGROUP,TEMPLE,DEPTH,DIAG,BASECURVE,SUNGRX,FROTHER,FROTHER2,REORDDATE,REORDER,REORDQTY,RRP,EXLISTPR,LISTPRICE,EXCOSTPR,COSTPRICE,EXPREVCOST,PREVCOST,EXAVGCOST,AVGCOST,DPRECOST,DPREEXCOST,WSALEET,WSALEIT,APPORDER,LASTSALE2,LASTSALE,FIRSTPUR,LASTPUR,RETURNBY,DQTY,REFRESH,LASTINV,DISPC,TAXPC,FRSTATUS,FRSTATUS2,QTYONORDER,QTYONAPPRO,PHOTOEXT,PHOTONAME,LIFESTYLE,LIFECYCLE,RELEASE,AVAILFROM,AVAILTILL,FRANGE,SPH1,SPH2,CYL1,CYL2,MINPD,BASEC,SRVCHARGE,EXLISTSRV,LISTSRV,EXRRPSRV,RRPSRV,MODKEY,ORDERAGAIN,PROSUPPLY,PSSUPFIT,PSCREATED,PSUPDATEAT,USER,MODIFIED,DELFLAG,XFER,PROVISION,PVINACTIVE,LOGSTR,FGID,SUPSTATUS,LLABORDER,LDOWNLOAD,UUID,NOTE,PHOTO
10242,OPT,,78565,,ESS000144,,,5,2.5 NVG,OPH 306,306,48-23,,,,,,,,,,,,,145,44,48,,,,,,,,80,,,17,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10375,OPT,,78566,,ESS000156,,,1,APOLLO,9984,TORT,50-15,,,,,,,,,,,,,134,30,49,,,,,,,,80,,,14.5,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7665,OPT,,78567,,000000026,,,3,Apollo,1014,BLUE,43-16,,,,,,,,,,,,,120,25,42,,,,,,,,80,,,0,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7662,OPT,,78568,,000000025,,,2,Apollo,1013,40193,40-19,,,,,,,,,,,,,125,30,42,,,,,,,,80,,,0,,,,,,,,,,,,,,,,,,,,10,CO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6352,OPT,,78569,,ESS000112,,,1,Apollo,9871,C2,54-21,,,,,,,,,,,,,140,33,54,,,,,,,,80,,,13.98,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5634,OPT,,78570,,ESS000099,,,1,Apollo,9871,C3,54-21,,,,,,,,,,,,,140,33,53,,,,,,,,80,,,15.1,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6587,OPT,,78571,,ESS000120,,,2,Apollo,9963,C1,56-18,,,,,,,,,,,,,145,38,59,,,,,,,,80,,,13,,,,,,,,,,,,,,,,,,,,10,CO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7667,OPT,,78572,,ESS000129,,,2,Apollo,9959,C1,52-17,,,,,,,,,,,,,138,32,56,,,,,,,,80,,,0,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10244,OPT,,78573,,ESS000146,,,2,2.5 NVG,OPH 103,02,52-17,,,,,,,,,,,,,135,31,54,,,,,,,,80,,,17,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4214,OPT,,78574,,ESS000091,,,1,Apollo,9846,C3,54-17,,,,,,,,,,,,,140,38,53,,,,,,,,80,,,15.1,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
